Prefix,Class Number,Class Name,Credits
ATF,344,Ford Driveline & 4x4 Diag/Rpr,2
ATF,346,Ford Transmission & Transaxle,4
ATF,350,Technical Internship IV,3
ATF,352,Ford Systems/Tech. Update,3
ATF,362,Ford Diesel Engine Technology,4
ATG,312,GM Specialized Electronics Tr,4
ATG,320,GM Brake Systems,4
ATG,322,GM Steering & Suspension,3
ATG,326,GM Auto AC Systems,3
ATG,327,Minor Svc/Repair/GM Engines,3
ATG,328,Diagnosis/Repair-GM Elect Sys,3
ATG,329,Technical Internship I,3
ATG,330,Technical Internship II,3
ATG,333,Major Service Proc/GM Engines,3
ATG,336,GM Fuel Systems,3
ATG,337,GM Engine Performance,4
ATG,340,Technical Internship III,3
ATG,344,GM Manual Drivetrains,4
ATG,345,GM Automatic Drivetrains,4
ATG,350,Technical Internship IV,3
ATG,354,Advanced GM Motors Systems,5
AUT,111,Intro to Auto Tech I,6
AUT,112,Intro to AutoTech II,6
AUT,114,Shop Fund & Minor Service,4
AUT,140,Welding for Automotive Mechani,2
AUT,163,Automotive Engine Repair,3
AUT,173,Adv Automotive Engine Repair,3
AUT,242,Basic Automotive Powertrain,6
AUT,243,Adv Automotive Powertrain,6
AUT,404,Basic Suspension & Steering,4
AUT,524,Auto Brake Systems & Service,4
AUT,535,Adv Auto Brakes & Alignment,5
AUT,601,Auto Electrical I,4
AUT,612,Auto Electrical II,4
AUT,615,Auto Electricity/Electronics,4
AUT,652,Adv Automotive Electricity,3
AUT,704,Auto Heating & AC,4
AUT,823,Advanced Automotive Tune-up,4
AUT,834,Automotive Fuel Systems,4
AUT,842,Auto Computerized Eng Controls,4
AUT,845,Electrical Systems Diagnosis,2
AUT,847,Electrical Systems Diagnosis,3
AUT,870,Automotive Service Management,2
AUT,933,Technical Internship I,3
AUT,934,Technical Internship II,3
AVI,130,Private Pilot Ground School,3
AVI,172,Private Pilot Flight Training,2
AVI,213,Instrument Flight Theory,3
AVM,100,Cleaning/Corrosion Control,1
AVM,103,Aircraft-Materials/Processes,2
AVM,104,Regulations and Publications,2
AVM,107,Weight and Balance,1
AVM,111,Ground Operations & Servicing,1
AVM,112,Aircraft Electrical Systems,4
AVM,121,Weather and Warning Systems,1
AVM,124,Aircraft Assembly/Rigging,3
AVM,125,Airframe Structure and Repair,5
AVM,129,Landing Gear & Brake Systems,2
AVM,132,Airframe/Powerplant Inspection,2
AVM,133,Hydraulic/Pneumatic Power Sys,3
AVM,139,Instruments/Fire Protection-PP,1
AVM,141,Control Systems,1
AVM,145,Aircraft Welding,1
AVM,147,Airframe Fuel Systems,2
AVM,165,Communication and Navigation,2
AVM,168,Fluid Lines and Fittings,1
AVM,170,Aircraft Drawings,2
BIO,100,Opportunities in Biology,1
BIO,104,Introductory Biology w/lab,3
BIO,112,General Biology I,4
BIO,113,General Biology II,4
BIO,135,Introduction to Botany,4
BIO,138,Field Ecology,3
BIO,145,Ecology of Iowa,3
BIO,146,Genetics,3
BIO,151,Nutrition,3
BIO,156,Human Biology w/lab,3
BIO,164,Essentials Anatomy/Physiology,5
BIO,168,Anatomy & Physiology I,4
BIO,173,Anatomy & Physiology II,4
BIO,186,Microbiology,4
BIO,191,Intro to Biotechnology w/Lab,3
BIO,225,Marine Biology I,4
BIO,227,Marine Biology II,4
BIO,243,Topics in Biotechnology,1
BIO,249,Biotechnology Internship,2
BIO,250,Cell & Molec Bio-Nucleic Acids,5
BIO,251,Cell & Molecular Bio-Proteins,5
BIO,260,Biology of Aging,3
BIO,295,General Ecology and Lab,4
BIO,732,Health Science Microbiology,4
BIO,733,Health Science Anatomy,3
BIO,734,Health Science Physiology,3
BIO,900,Field Studies in Medical Sciences,4
BIO,922,Field Studies,1
BPT,102,Intro to Biomass Process Tech,2
BPT,111,Biomass Equipment and Systems,3
BPT,112,Biomass Tech Health/Safety,3
BPT,125,Piping & Instrument Diagrams,2
BPT,128,Operator Biomass Lab Process,3
BMA,165,Boiler Room Maintenance,1
BMA,167,Steam Plant Operations,2
BMA,175,Basic Plumbing,2
BMA,177,Indus. Plumbing & Pipefitting,3
BCA,110,Introduction to Word,1
BCA,121,Introduction to Excel,1
BCA,144,Introduction to OneNote,1
BCA,152,Comprehensive Spreadsheets,3
BCA,160,Comprehensive Word I,3
BCA,161,Comprehensive Word II,3
BCA,180,Introduction to Access,1
BCA,181,Introduction to PowerPoint,1
BCA,212,Intro Computer Business Appl,3
BCA,242,Publications and Photo Editing,3
BUS,102,Introduction to Business,3
BUS,112,Business Math,3
BUS,131,Small Business Mgmt Strategies,3
BUS,138,Small Business Marketing,3
BUS,141,Small Business Start-Up,3
BUS,148,Small Business Management,3
BUS,150,E-Commerce on the Web,3
BUS,185,Business Law I,3
BUS,186,Business Law II,3
BUS,220,Intro International Business,3
BUS,231,Quantitative Methods/Bus Decisions,4
BUS,250,Principles of Real Estate,3
BUS,260,Introduction to Insurance,3
BUS,278,Employment Law,3
BUS,902,Career Seminar,1
BUS,904,Legal Study Tour,1
BUS,932,Internship,2
CET,101,Engineering Fundamentals,3
CET,110,Materials Testing,3
CET,113,Surveying Fundamentals,3
CET,152,Construction Inspection,3
CET,158,Introduction to Drafting,4
CET,180,Engineering Surveying,4
CET,210,PCC/HMA Plant Inspection,3
CET,215,Roadway Design Fundamentals,4
CET,240,Soils and Erosion Control,2
CET,252,Construction Documents,3
CET,255,Roadway/Highway Design,4
CET,260,Roadway Design with CAD,4
CET,265,Land Surveying,3
CET,292,Structural Detail & Modeling,4
CET,302,Field Internship,2
CET,304,Field Coop,4
CET,305,Field Coop,5
CET,307,Field Orientation,2
CHM,105,Survey of Chemistry,3
CHM,122,Intro to General Chemistry,4
